Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Italian:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - German:,Estimate; Total: - Yiddish:,Estimate; Total: - Other West Germanic languages:,Estimate; Total: - Scandinavian languages:,Estimate; Total: - Greek:,Estimate; Total: - Russian:,Estimate; Total: - Polish:,Estimate; Total: - Serbo-Croatian:,Estimate; Total: - Other Slavic languages:,Estimate; Total: - Armenian:,Estimate; Total: - Persian:,Estimate; Total: - Gujarati:,Estimate; Total: - Hindi:,Estimate; Total: - Urdu:,Estimate; Total: - Other Indic languages:,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Chinese:,Estimate; Total: - Japanese:,Estimate; Total: - Korean:,"Estimate; Total: - Mon-Khmer, Cambodian:",Estimate; Total: - Hmong:,Estimate; Total: - Thai:,Estimate; Total: - Laotian:,Estimate; Total: - Vietnamese:,Estimate; Total: - Other Asian languages:,Estimate; Total: - Tagalog:,Estimate; Total: - Other Pacific Island languages:,Estimate; Total: - Navajo:,Estimate; Total: - Other Native North American languages:,Estimate; Total: - Hungarian:,Estimate; Total: - Arabic:,Estimate; Total: - Hebrew:,Estimate; Total: - African languages:,Estimate; Total: - Other and unspecified languages:
1400000US12086001004,12086001004,"Census Tract 10.04, Miami-Dade County, Florida",5953,4351,864,3,722,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001005,12086001005,"Census Tract 10.05, Miami-Dade County, Florida",1903,1286,433,24,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001006,12086001006,"Census Tract 10.06, Miami-Dade County, Florida",4617,1741,1417,48,1331,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,5,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0
1400000US12086001101,12086001101,"Census Tract 11.01, Miami-Dade County, Florida",5406,1176,1023,104,2968,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7,0,0,0,0,0,0,0,0,0,50,0,0,0,4,0,4,0,0
1400000US12086001102,12086001102,"Census Tract 11.02, Miami-Dade County, Florida",5603,2025,1588,39,1874,0,0,34,0,14,0,0,0,7,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0
1400000US12086001103,12086001103,"Census Tract 11.03, Miami-Dade County, Florida",3380,1456,811,15,1052,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0
1400000US12086001104,12086001104,"Census Tract 11.04, Miami-Dade County, Florida",4623,2259,1321,62,615,28,66,5,0,19,17,0,8,0,0,8,0,0,0,0,0,0,10,13,0,11,0,0,0,0,0,0,26,0,0,0,0,155,0,0,0
1400000US12086001203,12086001203,"Census Tract 12.03, Miami-Dade County, Florida",6665,2136,1833,233,2186,17,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
1400000US12086001204,12086001204,"Census Tract 12.04, Miami-Dade County, Florida",5392,2297,2178,47,332,0,184,26,0,24,0,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,121,13,0,0,0,0,0,37,0
1400000US12086001205,12086001205,"Census Tract 12.05, Miami-Dade County, Florida",3095,1682,870,54,295,14,0,41,0,0,0,0,0,0,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,22,0,61,0,0,0
1400000US12086001206,12086001206,"Census Tract 12.06, Miami-Dade County, Florida",4210,1809,1550,51,161,18,272,30,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,33,0,0,0,0,189,0,0,0
1400000US12086001301,12086001301,"Census Tract 13.01, Miami-Dade County, Florida",4092,1344,1771,36,657,0,10,49,0,0,0,0,41,0,0,0,0,51,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
1400000US12086001302,12086001302,"Census Tract 13.02, Miami-Dade County, Florida",5459,2094,2164,52,990,35,41,12,0,0,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,11
1400000US12086001401,12086001401,"Census Tract 14.01, Miami-Dade County, Florida",4865,2184,474,101,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001402,12086001402,"Census Tract 14.02, Miami-Dade County, Florida",5716,1978,717,43,2970,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001501,12086001501,"Census Tract 15.01, Miami-Dade County, Florida",3585,3098,359,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001502,12086001502,"Census Tract 15.02, Miami-Dade County, Florida",3671,3329,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001602,12086001602,"Census Tract 16.02, Miami-Dade County, Florida",6277,554,5698,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
1400000US12086001603,12086001603,"Census Tract 16.03, Miami-Dade County, Florida",3510,110,3398,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001605,12086001605,"Census Tract 16.05, Miami-Dade County, Florida",3624,185,3435,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
