Id,Id2,Geography,Total,English Only,Spanish,French,French Creole,Portuguese,Russian,Chinese,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - Russian:,Estimate; Total: - Chinese:
1400000US12086014700,12086014700,"Census Tract 147, Miami-Dade County, Florida",6566,3.2,95.9,0.0,0.0,0.0,0.0,0.0,212,6298,0,0,0,0,0
1400000US12086014800,12086014800,"Census Tract 148, Miami-Dade County, Florida",5701,5.6,93.9,0.0,0.0,0.0,0.0,0.0,320,5353,0,0,0,0,0
1400000US12086014900,12086014900,"Census Tract 149, Miami-Dade County, Florida",5307,6.2,93.2,0.0,0.0,0.0,0.0,0.5,329,4946,0,0,0,0,26
1400000US12086015000,12086015000,"Census Tract 150, Miami-Dade County, Florida",8726,3.4,96.3,0.0,0.0,0.0,0.0,0.3,295,8402,0,0,0,0,29
1400000US12086015300,12086015300,"Census Tract 153, Miami-Dade County, Florida",5606,4.0,95.8,0.1,0.0,0.0,0.0,0.0,226,5373,7,0,0,0,0
1400000US12086015400,12086015400,"Census Tract 154, Miami-Dade County, Florida",5335,4.8,95.2,0.0,0.0,0.0,0.0,0.0,255,5080,0,0,0,0,0
1400000US12086015500,12086015500,"Census Tract 155, Miami-Dade County, Florida",6184,11.0,88.5,0.0,0.0,0.1,0.0,0.0,680,5471,0,0,7,0,0
1400000US12086015600,12086015600,"Census Tract 156, Miami-Dade County, Florida",4357,21.4,75.9,0.1,0.0,0.9,0.0,0.0,933,3306,6,0,41,0,0
1400000US12086015700,12086015700,"Census Tract 157, Miami-Dade County, Florida",2465,13.4,80.0,1.3,2.1,1.0,0.0,0.0,330,1973,32,51,24,0,0
1400000US12086015800,12086015800,"Census Tract 158, Miami-Dade County, Florida",4725,8.2,91.0,0.0,0.0,0.0,0.0,0.0,386,4302,0,0,0,0,0
1400000US12086015900,12086015900,"Census Tract 159, Miami-Dade County, Florida",4177,10.8,86.4,0.0,0.0,0.0,0.0,0.0,452,3607,0,0,0,0,0
1400000US12086016000,12086016000,"Census Tract 160, Miami-Dade County, Florida",4742,10.7,88.6,0.0,0.0,0.2,0.0,0.0,506,4202,0,0,8,0,0
1400000US12086016100,12086016100,"Census Tract 161, Miami-Dade County, Florida",5082,6.9,89.2,0.0,0.0,0.0,0.0,2.0,351,4533,0,0,0,0,102
1400000US12086016200,12086016200,"Census Tract 162, Miami-Dade County, Florida",3383,9.1,85.8,0.0,0.0,1.9,0.0,0.0,309,2902,0,0,65,0,0
1400000US12086016300,12086016300,"Census Tract 163, Miami-Dade County, Florida",5343,10.8,85.0,0.0,0.0,0.0,0.0,0.2,578,4542,0,0,0,0,10
1400000US12086016600,12086016600,"Census Tract 166, Miami-Dade County, Florida",3719,14.0,83.4,1.3,0.4,0.0,0.0,1.0,520,3100,47,14,0,0,38
1400000US12086016700,12086016700,"Census Tract 167, Miami-Dade County, Florida",5741,11.7,87.6,0.5,0.0,0.0,0.0,0.0,669,5030,30,0,0,0,0
1400000US12086016800,12086016800,"Census Tract 168, Miami-Dade County, Florida",3964,12.0,81.1,1.4,0.0,2.6,0.0,1.5,476,3213,54,0,104,0,58
1400000US12086016900,12086016900,"Census Tract 169, Miami-Dade County, Florida",4805,5.3,93.0,0.0,0.0,0.2,0.0,0.0,257,4471,0,0,11,0,0
1400000US12086017000,12086017000,"Census Tract 170, Miami-Dade County, Florida",5654,6.0,92.5,0.0,0.2,0.6,0.0,0.0,340,5228,0,13,32,0,0
1400000US12086017100,12086017100,"Census Tract 171, Miami-Dade County, Florida",6567,8.4,89.4,0.0,0.0,0.1,0.0,0.0,553,5870,0,0,9,0,0
1400000US12086017200,12086017200,"Census Tract 172, Miami-Dade County, Florida",4082,15.4,84.3,0.0,0.3,0.0,0.0,0.0,628,3442,0,12,0,0,0
1400000US12086017300,12086017300,"Census Tract 173, Miami-Dade County, Florida",4513,10.6,85.0,0.9,0.0,1.0,0.0,0.6,479,3834,42,2,46,0,25
1400000US12086017400,12086017400,"Census Tract 174, Miami-Dade County, Florida",5803,11.8,85.2,1.4,0.8,0.0,0.0,0.0,685,4943,84,45,0,0,0
1400000US12086017500,12086017500,"Census Tract 175, Miami-Dade County, Florida",4085,8.1,91.5,0.0,0.0,0.0,0.0,0.0,330,3737,0,0,0,0,0
1400000US12086017800,12086017800,"Census Tract 178, Miami-Dade County, Florida",6089,3.9,95.5,0.5,0.0,0.0,0.0,0.0,240,5818,31,0,0,0,0
1400000US12086018100,12086018100,"Census Tract 181, Miami-Dade County, Florida",5065,17.5,77.1,3.8,0.0,0.0,0.0,0.0,887,3906,192,0,0,0,0
1400000US12086018600,12086018600,"Census Tract 186, Miami-Dade County, Florida",9066,13.6,83.7,0.8,0.4,0.1,0.0,0.0,1233,7588,76,38,10,0,0
1400000US12086018800,12086018800,"Census Tract 188, Miami-Dade County, Florida",7133,25.6,70.1,0.3,1.9,0.1,0.0,0.2,1828,5001,19,135,9,0,13
1400000US12086018900,12086018900,"Census Tract 189, Miami-Dade County, Florida",6849,34.9,59.2,0.6,0.5,1.1,0.0,0.0,2388,4052,39,37,75,0,0
1400000US12086019000,12086019000,"Census Tract 190, Miami-Dade County, Florida",5745,26.0,70.9,0.7,0.0,1.2,0.5,0.0,1493,4073,39,0,67,27,0
1400000US12086019100,12086019100,"Census Tract 191, Miami-Dade County, Florida",4510,25.1,70.3,1.5,0.0,0.0,0.0,0.6,1131,3170,67,0,0,0,25
1400000US12086019200,12086019200,"Census Tract 192, Miami-Dade County, Florida",5417,39.2,55.0,1.0,0.0,0.0,0.0,0.9,2121,2978,54,0,0,0,48
